Date,Time,Male,Device,Activity
7/19/2014,10:21 AM,male,tablet,1
7/31/2014,12:12 AM,female,tablet,1
7/22/2014,8:12 PM,male,mobile,0
7/20/2014,5:10 PM,female,mobile,0
7/24/2014,4:06 AM,male,tablet,1
7/19/2014,2:37 PM,female,desktop,1
7/25/2014,7:02 AM,female,tablet,1
7/31/2014,12:04 PM,female,mobile,0
7/18/2014,8:05 PM,male,mobile,0
7/17/2014,11:54 PM,male,desktop,0
7/26/2014,12:29 PM,female,tablet,0
7/27/2014,2:50 PM,female,mobile,1
7/18/2014,6:09 AM,female,tablet,0
7/29/2014,10:13 AM,female,tablet,1
7/19/2014,1:22 AM,female,tablet,1
7/18/2014,1:20 AM,male,desktop,1
7/20/2014,8:19 AM,female,tablet,0
7/24/2014,5:47 AM,male,desktop,1
7/25/2014,4:10 AM,male,mobile,1
7/20/2014,8:01 PM,female,tablet,1
7/21/2014,5:32 PM,female,tablet,1
7/23/2014,1:10 PM,female,mobile,0
7/23/2014,7:38 AM,female,mobile,1
7/24/2014,3:36 PM,female,tablet,1
7/29/2014,2:33 PM,female,tablet,1
7/22/2014,1:40 PM,female,desktop,1
7/29/2014,11:19 PM,male,mobile,1
7/19/2014,6:00 PM,female,mobile,1
7/27/2014,4:24 AM,female,desktop,0
7/29/2014,2:19 PM,female,desktop,0
7/28/2014,1:05 PM,male,desktop,1
7/31/2014,12:18 PM,female,desktop,0
7/21/2014,8:18 AM,male,mobile,1
7/25/2014,11:49 PM,female,desktop,1
7/26/2014,9:28 AM,male,desktop,0
7/24/2014,11:40 PM,male,tablet,1
7/29/2014,4:34 PM,male,mobile,0
7/23/2014,2:13 AM,male,mobile,0
7/21/2014,4:16 PM,female,desktop,1
7/29/2014,6:28 AM,female,mobile,0
7/20/2014,6:43 PM,male,mobile,0
7/24/2014,2:34 AM,male,tablet,0
7/28/2014,10:57 AM,male,mobile,1
7/29/2014,4:11 AM,male,desktop,1
7/19/2014,6:15 PM,female,desktop,0
7/29/2014,9:51 PM,male,mobile,1
7/25/2014,11:48 AM,female,mobile,0
7/22/2014,11:15 PM,male,tablet,0
7/19/2014,12:26 PM,male,tablet,1
7/20/2014,6:22 PM,female,desktop,1
7/29/2014,12:51 PM,male,mobile,1
7/29/2014,8:27 AM,male,desktop,0
7/17/2014,9:09 PM,male,tablet,0
7/19/2014,12:36 AM,male,desktop,1
7/21/2014,3:11 PM,male,mobile,1
7/24/2014,8:14 PM,female,mobile,0
7/21/2014,12:00 AM,female,tablet,0
7/22/2014,3:17 PM,male,mobile,1
7/29/2014,5:41 AM,male,mobile,1
7/18/2014,11:40 PM,male,mobile,0
7/30/2014,11:38 AM,male,mobile,1
7/23/2014,10:38 AM,female,desktop,1
7/30/2014,9:18 PM,female,mobile,0
7/26/2014,2:29 PM,male,desktop,0
7/25/2014,1:25 PM,male,tablet,0
7/30/2014,7:18 AM,female,desktop,0
7/22/2014,7:19 AM,male,tablet,0
7/22/2014,5:26 AM,female,desktop,1
7/25/2014,3:54 PM,female,desktop,1
7/22/2014,5:03 PM,female,tablet,1
7/17/2014,4:36 AM,female,mobile,1
7/19/2014,10:07 AM,male,tablet,1
7/18/2014,11:18 PM,female,desktop,1
7/18/2014,6:49 AM,male,mobile,1
7/25/2014,5:37 AM,female,tablet,0
7/26/2014,5:43 AM,female,desktop,1
7/31/2014,3:03 AM,male,mobile,1
7/26/2014,3:48 AM,male,mobile,1
7/23/2014,11:56 AM,female,tablet,0
7/23/2014,3:09 PM,male,mobile,0
7/21/2014,3:25 PM,female,mobile,0
7/22/2014,8:43 AM,male,mobile,1
7/20/2014,7:45 PM,male,tablet,0
7/25/2014,1:00 AM,female,desktop,1
7/29/2014,11:49 PM,male,tablet,0
7/26/2014,7:19 AM,female,desktop,0
7/17/2014,4:01 PM,male,desktop,0
7/19/2014,7:41 PM,male,mobile,1
7/22/2014,6:16 PM,male,desktop,1
7/22/2014,8:00 PM,male,desktop,0
7/27/2014,4:43 AM,male,desktop,1
7/25/2014,9:42 PM,female,tablet,1
7/23/2014,2:56 PM,female,desktop,0
7/24/2014,9:37 PM,female,tablet,1
7/22/2014,5:13 AM,male,desktop,0
7/28/2014,1:11 PM,female,desktop,1
7/18/2014,2:39 PM,male,tablet,1
7/31/2014,3:00 AM,male,tablet,1
7/21/2014,12:52 AM,male,desktop,0
7/26/2014,6:49 PM,female,mobile,0
7/31/2014,4:38 AM,female,mobile,0
7/23/2014,11:40 PM,female,desktop,0
7/28/2014,5:21 AM,female,desktop,1
7/17/2014,3:59 AM,male,mobile,1
7/18/2014,11:06 AM,male,desktop,0
7/18/2014,4:05 AM,female,desktop,0
7/31/2014,8:25 PM,female,tablet,1
7/28/2014,11:10 PM,female,tablet,0
7/20/2014,1:56 PM,male,mobile,1
7/22/2014,11:17 AM,female,mobile,1
7/26/2014,1:18 AM,female,tablet,0
7/18/2014,10:10 AM,male,desktop,1
7/27/2014,2:19 AM,female,tablet,1
7/27/2014,11:10 AM,male,desktop,0
7/21/2014,6:32 AM,female,tablet,1
7/19/2014,8:47 AM,female,tablet,1
7/26/2014,4:15 AM,female,mobile,1
7/20/2014,1:48 AM,female,tablet,1
7/19/2014,11:47 AM,male,tablet,0
7/21/2014,3:38 PM,female,desktop,1
7/31/2014,1:08 AM,female,tablet,0
7/29/2014,4:32 PM,male,tablet,1
7/26/2014,7:42 PM,male,mobile,0
7/26/2014,6:53 PM,female,mobile,0
7/29/2014,3:30 AM,male,tablet,0
7/20/2014,12:00 AM,female,tablet,0
7/27/2014,7:32 AM,male,desktop,1
7/17/2014,6:25 PM,female,tablet,0
7/19/2014,10:54 AM,female,desktop,0
7/26/2014,9:35 PM,female,tablet,0
7/24/2014,9:13 AM,male,tablet,0
7/26/2014,7:05 AM,male,tablet,1
7/22/2014,1:13 PM,female,tablet,0
7/28/2014,10:11 AM,male,tablet,0
7/27/2014,11:24 PM,male,mobile,1
7/18/2014,9:08 AM,female,tablet,1
7/26/2014,9:08 PM,female,mobile,0
7/20/2014,9:18 AM,female,desktop,0
7/26/2014,11:18 PM,male,desktop,0
7/29/2014,2:20 PM,female,tablet,1
7/21/2014,5:51 AM,female,desktop,1
7/23/2014,11:31 PM,female,mobile,1
7/19/2014,8:31 PM,male,desktop,0
7/28/2014,5:42 AM,male,mobile,1
7/30/2014,12:39 AM,female,desktop,1
7/27/2014,3:56 AM,male,desktop,1
7/31/2014,11:37 AM,male,desktop,1
7/17/2014,1:45 AM,male,tablet,0
7/27/2014,12:15 AM,male,mobile,0
7/27/2014,8:47 PM,male,desktop,1
7/23/2014,11:38 PM,female,tablet,1
7/18/2014,1:51 PM,female,mobile,1
7/24/2014,2:00 AM,male,mobile,0
7/31/2014,10:40 AM,female,mobile,1
7/29/2014,12:24 AM,male,tablet,1
7/23/2014,7:34 PM,male,mobile,1
7/24/2014,6:51 PM,female,mobile,0
7/25/2014,1:27 AM,female,desktop,0
7/20/2014,9:31 AM,female,desktop,1
7/29/2014,2:11 PM,female,desktop,1
7/23/2014,10:16 AM,male,mobile,1
7/21/2014,4:08 PM,male,tablet,1
7/23/2014,12:11 PM,female,desktop,0
7/18/2014,5:06 AM,male,desktop,1
7/18/2014,7:18 PM,female,tablet,1
7/20/2014,3:06 PM,female,desktop,0
7/18/2014,12:59 AM,male,desktop,1
7/24/2014,10:35 PM,male,tablet,1
7/25/2014,1:44 PM,female,tablet,1
7/31/2014,2:25 AM,female,desktop,0
7/20/2014,6:32 AM,male,tablet,1
7/17/2014,7:50 PM,female,mobile,0
7/17/2014,4:00 AM,male,tablet,1
7/21/2014,6:29 PM,male,mobile,0
7/19/2014,10:22 PM,male,mobile,0
7/20/2014,7:52 PM,male,tablet,0
7/19/2014,12:57 AM,female,tablet,1
7/25/2014,10:34 PM,female,mobile,0
7/23/2014,7:09 AM,male,mobile,0
7/28/2014,6:06 AM,female,tablet,0
7/31/2014,8:01 AM,male,tablet,1
7/29/2014,2:00 PM,female,mobile,0
7/23/2014,12:30 PM,female,desktop,1
7/21/2014,8:00 PM,female,tablet,0
7/17/2014,4:13 AM,female,tablet,1
7/28/2014,5:16 PM,female,mobile,0
7/27/2014,7:45 AM,female,desktop,1
7/27/2014,11:22 PM,female,mobile,0
7/27/2014,10:12 PM,male,desktop,1
7/31/2014,3:37 PM,female,tablet,0
7/25/2014,6:33 PM,male,desktop,1
7/30/2014,12:14 AM,male,mobile,1
7/19/2014,9:27 PM,female,desktop,1
7/20/2014,10:20 PM,male,desktop,0
7/30/2014,7:21 AM,male,tablet,1
7/23/2014,9:12 AM,male,tablet,0
7/24/2014,3:37 AM,female,tablet,0
7/24/2014,4:58 AM,female,mobile,1
7/25/2014,4:14 AM,female,tablet,1
7/26/2014,1:00 PM,male,desktop,1
7/21/2014,6:51 PM,male,mobile,0
7/19/2014,1:44 PM,male,tablet,1
7/21/2014,7:42 PM,male,mobile,0
7/23/2014,9:01 PM,female,tablet,1
7/19/2014,8:31 AM,female,mobile,1
7/25/2014,11:25 AM,male,mobile,1
7/22/2014,7:51 AM,female,mobile,0
7/26/2014,2:45 AM,male,tablet,0
7/23/2014,11:35 PM,male,tablet,1
7/18/2014,6:13 AM,male,tablet,0
7/24/2014,5:28 PM,male,mobile,0
7/21/2014,12:55 PM,male,mobile,0
7/29/2014,3:31 AM,male,mobile,0
7/19/2014,11:32 AM,female,mobile,1
7/27/2014,10:19 PM,female,mobile,0
7/23/2014,3:17 PM,male,tablet,0
7/30/2014,4:14 PM,male,tablet,0
7/23/2014,10:55 PM,male,desktop,0
7/31/2014,1:39 AM,female,mobile,0
7/26/2014,2:38 AM,female,mobile,0
7/25/2014,12:59 PM,female,mobile,0
7/26/2014,12:26 AM,female,mobile,0
7/25/2014,8:29 PM,male,mobile,1
7/29/2014,9:03 AM,male,mobile,1
7/28/2014,12:40 AM,female,tablet,1
7/18/2014,11:00 AM,male,desktop,1
7/30/2014,1:26 PM,female,mobile,0
7/29/2014,8:19 PM,female,desktop,1
7/30/2014,12:03 PM,female,mobile,0
7/21/2014,7:09 PM,male,tablet,1
7/27/2014,12:14 PM,female,mobile,1
7/30/2014,8:31 AM,female,tablet,1
7/17/2014,1:10 PM,male,mobile,1
7/21/2014,3:23 PM,female,mobile,0
7/22/2014,5:00 AM,female,mobile,1
7/27/2014,4:52 PM,female,desktop,1
7/22/2014,7:28 AM,female,tablet,0
7/19/2014,10:14 AM,female,tablet,1
7/30/2014,1:33 AM,female,tablet,0
7/22/2014,2:41 AM,male,desktop,0
7/31/2014,2:49 PM,female,tablet,0
7/19/2014,11:24 AM,male,tablet,0
7/29/2014,12:38 AM,male,mobile,0
7/31/2014,3:21 PM,male,tablet,1
7/31/2014,10:00 AM,female,mobile,0
7/26/2014,8:17 AM,female,mobile,1
7/24/2014,7:20 AM,female,mobile,0
7/20/2014,11:44 AM,female,tablet,1
7/27/2014,7:50 AM,male,mobile,0
7/30/2014,1:37 PM,female,tablet,1
7/25/2014,5:46 AM,male,tablet,0
7/27/2014,1:59 PM,male,mobile,0
7/26/2014,1:12 AM,male,mobile,1
7/31/2014,2:00 AM,female,tablet,1
7/22/2014,12:34 AM,male,desktop,1
7/20/2014,7:47 AM,male,tablet,0
7/26/2014,1:46 AM,female,mobile,0
7/27/2014,9:54 PM,female,mobile,0
7/24/2014,3:16 AM,male,tablet,1
7/25/2014,6:21 AM,male,mobile,0
7/19/2014,8:08 PM,male,desktop,0
7/22/2014,12:29 AM,male,tablet,0
7/20/2014,9:37 AM,female,desktop,0
7/28/2014,4:45 PM,female,desktop,1
7/28/2014,2:41 PM,female,mobile,0
7/17/2014,1:39 PM,male,mobile,0
7/26/2014,2:41 AM,male,desktop,1
7/28/2014,8:50 AM,male,desktop,1
7/23/2014,6:04 AM,female,mobile,1
7/29/2014,12:57 AM,male,tablet,1
7/23/2014,5:40 PM,male,mobile,1
7/22/2014,2:26 AM,female,tablet,1
7/19/2014,3:29 AM,male,desktop,0
7/28/2014,5:20 AM,male,mobile,1
7/21/2014,9:53 AM,female,desktop,1
7/26/2014,12:07 AM,male,desktop,1
7/20/2014,8:56 PM,male,tablet,1
7/20/2014,12:13 AM,male,desktop,1
7/29/2014,7:24 PM,male,tablet,1
7/24/2014,2:02 PM,male,desktop,1
7/26/2014,8:20 PM,male,mobile,1
7/28/2014,1:08 AM,male,tablet,1
7/20/2014,5:36 PM,male,desktop,1
7/26/2014,8:24 AM,male,tablet,0
7/28/2014,4:30 PM,female,desktop,0
7/20/2014,9:14 AM,female,mobile,0
7/30/2014,1:12 PM,female,desktop,1
7/22/2014,11:50 AM,female,mobile,0
7/27/2014,9:13 AM,male,mobile,0
7/31/2014,3:44 PM,female,desktop,0
7/31/2014,4:20 AM,male,mobile,0
7/23/2014,6:51 AM,male,mobile,1
7/24/2014,7:25 PM,male,desktop,0
7/24/2014,11:45 AM,male,mobile,0
7/29/2014,10:07 AM,female,mobile,0
7/21/2014,2:45 AM,male,desktop,1
7/24/2014,3:08 AM,female,tablet,0
7/23/2014,10:12 AM,female,desktop,1
7/30/2014,5:12 AM,male,mobile,0
7/26/2014,5:10 AM,male,desktop,0
7/21/2014,1:12 AM,male,tablet,0
7/17/2014,7:21 PM,male,mobile,1
7/30/2014,10:43 AM,male,desktop,0
7/28/2014,11:47 AM,male,mobile,1
7/30/2014,3:25 PM,male,desktop,0
7/28/2014,3:57 PM,male,tablet,0
7/31/2014,12:19 AM,female,mobile,0
7/27/2014,11:07 PM,female,desktop,1
7/19/2014,10:03 PM,male,desktop,1
7/27/2014,8:32 AM,female,mobile,0
7/30/2014,4:43 PM,female,mobile,0
7/26/2014,4:01 PM,female,mobile,0
7/24/2014,4:49 PM,female,mobile,1
7/28/2014,6:52 PM,male,desktop,1
7/21/2014,11:58 AM,male,tablet,0
7/24/2014,8:34 PM,female,mobile,1
7/20/2014,4:32 PM,female,desktop,0
7/28/2014,10:01 PM,female,desktop,1
7/26/2014,8:03 AM,male,tablet,1
7/23/2014,11:55 AM,female,desktop,1
7/26/2014,9:57 AM,male,tablet,1
7/31/2014,12:38 AM,female,mobile,0
7/27/2014,8:15 AM,male,mobile,0
7/26/2014,12:50 AM,male,tablet,1
7/20/2014,4:39 PM,female,desktop,0
7/17/2014,8:00 AM,male,tablet,1
7/31/2014,2:09 PM,male,mobile,1
7/29/2014,6:22 PM,female,desktop,0
7/28/2014,3:46 AM,male,tablet,1
7/21/2014,12:48 AM,female,mobile,0
7/23/2014,1:50 AM,female,mobile,0
7/29/2014,8:24 PM,female,desktop,1
7/20/2014,10:26 PM,female,desktop,1
7/18/2014,2:01 PM,male,desktop,1
7/25/2014,11:06 PM,male,mobile,0
7/23/2014,11:45 AM,male,tablet,0
7/19/2014,11:30 AM,male,mobile,1
7/31/2014,11:03 PM,male,tablet,0
7/17/2014,4:08 PM,male,desktop,1
7/19/2014,2:23 AM,female,mobile,0
7/26/2014,4:51 AM,female,mobile,1
7/31/2014,8:07 AM,female,desktop,0
7/17/2014,1:57 AM,male,tablet,1
7/26/2014,8:16 AM,female,tablet,1
7/31/2014,2:04 AM,male,mobile,0
7/24/2014,2:27 PM,male,desktop,0
7/26/2014,9:24 PM,male,tablet,1
7/21/2014,11:34 AM,female,desktop,1
7/24/2014,4:48 AM,female,desktop,1
7/28/2014,4:25 PM,male,mobile,1
7/25/2014,7:43 PM,female,mobile,1
7/21/2014,12:15 AM,male,desktop,1
7/27/2014,5:15 AM,male,tablet,0
7/26/2014,5:43 PM,female,desktop,0
7/28/2014,5:58 AM,male,tablet,0
7/26/2014,9:58 AM,female,tablet,0
7/20/2014,10:41 AM,male,tablet,1
7/25/2014,11:20 AM,female,desktop,0
7/20/2014,6:45 AM,female,desktop,0
7/17/2014,1:38 AM,female,desktop,0
7/27/2014,10:50 PM,female,tablet,0
7/30/2014,3:05 AM,male,mobile,1
7/22/2014,10:43 PM,female,tablet,1
7/21/2014,12:42 PM,male,desktop,1
7/20/2014,4:26 PM,female,tablet,1
7/19/2014,12:58 AM,male,mobile,0
7/17/2014,1:51 AM,male,tablet,0
7/18/2014,3:57 AM,female,tablet,0
7/26/2014,10:47 PM,male,desktop,1
7/31/2014,5:52 AM,female,tablet,1
7/18/2014,3:08 PM,female,desktop,1
7/20/2014,9:02 PM,male,mobile,0
7/27/2014,12:46 PM,male,tablet,1
7/17/2014,4:59 AM,female,tablet,0
7/21/2014,5:49 PM,male,tablet,0
7/19/2014,12:00 AM,female,mobile,1
7/20/2014,9:26 PM,female,mobile,1
7/23/2014,5:47 PM,female,mobile,1
7/18/2014,7:07 AM,female,desktop,0
7/31/2014,10:22 AM,male,desktop,1
7/27/2014,7:32 PM,male,tablet,1
7/28/2014,4:52 AM,male,mobile,0
7/22/2014,5:28 AM,female,desktop,1
7/21/2014,10:36 AM,female,desktop,0
7/18/2014,7:03 AM,female,tablet,0
7/28/2014,10:40 AM,female,tablet,1
7/22/2014,1:52 PM,female,desktop,1
7/23/2014,10:02 PM,female,tablet,0
7/20/2014,10:01 AM,male,mobile,0
7/23/2014,11:33 PM,male,desktop,1
7/27/2014,8:30 PM,female,mobile,1
7/22/2014,1:54 PM,female,desktop,1
7/20/2014,12:04 AM,female,mobile,1
7/19/2014,7:30 AM,female,mobile,0
7/27/2014,6:11 AM,male,mobile,1
7/22/2014,5:18 PM,male,desktop,1
7/24/2014,1:00 AM,male,tablet,1
7/18/2014,1:08 PM,female,mobile,0
7/31/2014,10:42 AM,female,desktop,1
7/25/2014,8:02 AM,male,mobile,0
7/23/2014,12:19 AM,female,tablet,0
7/20/2014,6:52 AM,female,desktop,0
7/29/2014,6:26 PM,female,tablet,1
7/19/2014,4:27 PM,male,tablet,0
7/22/2014,12:35 AM,female,mobile,1
7/23/2014,12:20 AM,male,desktop,1
7/23/2014,12:26 AM,female,mobile,0
7/23/2014,12:01 PM,male,mobile,0
7/29/2014,8:51 AM,male,mobile,0
7/21/2014,12:41 AM,female,tablet,1
7/27/2014,12:50 PM,female,desktop,0
7/26/2014,6:11 PM,male,desktop,1
7/30/2014,6:48 PM,male,tablet,0
7/24/2014,6:47 PM,female,mobile,1
7/28/2014,4:03 PM,female,tablet,0
7/17/2014,4:21 PM,male,mobile,1
7/26/2014,8:54 PM,male,tablet,0
7/26/2014,9:11 AM,male,mobile,0
7/26/2014,6:46 PM,male,mobile,0
7/18/2014,5:42 PM,male,tablet,0
7/27/2014,2:59 PM,female,tablet,0
7/28/2014,1:47 PM,female,mobile,1
7/17/2014,11:51 AM,male,tablet,0
7/29/2014,9:38 PM,male,desktop,0
7/22/2014,8:53 AM,male,mobile,1
7/21/2014,5:40 PM,male,tablet,1
7/21/2014,10:09 PM,female,tablet,0
7/30/2014,7:49 PM,male,mobile,1
7/25/2014,10:35 PM,male,tablet,0
7/20/2014,2:57 AM,male,tablet,0
7/24/2014,10:51 AM,female,desktop,0
7/24/2014,1:32 PM,female,mobile,0
7/23/2014,3:45 PM,female,mobile,1
7/24/2014,8:19 PM,male,mobile,1
7/21/2014,9:13 AM,male,mobile,0
7/28/2014,9:23 PM,female,desktop,0
7/31/2014,8:23 PM,male,desktop,1
7/21/2014,7:09 PM,female,desktop,1
7/24/2014,9:34 AM,female,desktop,1
7/25/2014,5:43 PM,female,mobile,1
7/22/2014,9:27 AM,female,mobile,0
7/29/2014,4:22 PM,female,tablet,1
7/25/2014,12:24 AM,male,desktop,0
7/30/2014,3:40 AM,male,mobile,1
7/27/2014,7:49 AM,male,desktop,1
7/27/2014,10:16 AM,male,tablet,0
7/28/2014,11:00 PM,male,desktop,0
7/27/2014,8:24 AM,female,tablet,0
7/28/2014,8:59 PM,female,tablet,0
7/31/2014,12:33 AM,female,mobile,1
7/28/2014,3:00 AM,male,tablet,1
7/18/2014,1:21 PM,male,desktop,0
7/25/2014,11:27 AM,female,tablet,1
7/31/2014,10:36 AM,male,mobile,1
7/24/2014,7:24 AM,male,mobile,0
7/17/2014,1:16 AM,female,tablet,1
7/21/2014,12:38 PM,female,desktop,0
7/25/2014,7:59 PM,male,desktop,1
7/23/2014,12:31 PM,male,tablet,0
7/28/2014,6:24 PM,male,desktop,1
7/28/2014,10:13 AM,female,tablet,0
7/22/2014,1:03 AM,male,mobile,1
7/24/2014,4:52 AM,male,mobile,1
7/28/2014,9:32 PM,male,desktop,0
7/23/2014,5:17 AM,female,mobile,0
7/30/2014,11:09 PM,male,tablet,1
7/29/2014,12:02 AM,male,desktop,0
7/17/2014,12:12 AM,male,desktop,0
7/26/2014,8:15 AM,male,tablet,1
7/26/2014,2:01 PM,male,mobile,0
7/30/2014,12:10 AM,female,tablet,1
7/31/2014,2:35 AM,male,tablet,0
7/21/2014,5:36 PM,male,tablet,0
7/25/2014,10:52 AM,female,desktop,1
7/19/2014,11:03 PM,female,mobile,0
7/18/2014,9:06 PM,male,mobile,1
7/27/2014,7:10 AM,female,desktop,0
7/20/2014,7:52 AM,male,tablet,1
7/21/2014,12:34 PM,female,desktop,1
7/29/2014,4:37 AM,male,tablet,0
7/29/2014,11:16 PM,female,tablet,0
7/23/2014,11:00 PM,female,tablet,1
7/23/2014,4:41 AM,female,desktop,0
7/30/2014,4:53 PM,male,mobile,0
7/17/2014,7:01 AM,male,tablet,1
7/24/2014,1:54 PM,male,desktop,0
7/21/2014,12:13 AM,male,mobile,1
7/30/2014,11:48 AM,male,tablet,1
7/27/2014,8:30 AM,female,tablet,1
7/24/2014,3:48 AM,female,mobile,1
7/31/2014,6:10 AM,female,mobile,0
7/29/2014,3:00 PM,male,tablet,1
7/29/2014,3:39 AM,male,mobile,0
7/27/2014,12:10 AM,female,mobile,1
7/20/2014,5:58 PM,male,desktop,1
7/29/2014,11:26 PM,female,tablet,0
7/23/2014,7:52 PM,male,desktop,0
7/25/2014,1:54 PM,male,mobile,1
7/31/2014,2:12 PM,female,tablet,1
7/30/2014,7:07 AM,male,mobile,0
7/24/2014,2:58 PM,female,desktop,1
7/20/2014,9:23 PM,male,mobile,1
7/31/2014,8:06 AM,female,tablet,0
7/27/2014,7:39 AM,male,tablet,1
7/27/2014,3:56 PM,male,tablet,1
7/30/2014,5:56 PM,male,desktop,0
7/17/2014,1:41 PM,male,desktop,1
7/26/2014,9:43 AM,male,tablet,0
7/26/2014,1:28 PM,female,mobile,0
7/21/2014,11:29 AM,male,mobile,1
7/17/2014,7:04 AM,female,desktop,1
7/19/2014,8:35 PM,female,desktop,0
7/24/2014,11:44 AM,male,tablet,0
7/28/2014,3:32 AM,female,tablet,0
7/23/2014,2:35 AM,female,mobile,1
7/24/2014,2:00 AM,female,tablet,0
7/21/2014,3:54 PM,female,mobile,0
7/26/2014,5:54 PM,male,mobile,1
7/26/2014,9:12 PM,male,mobile,1
7/26/2014,3:34 AM,male,desktop,1
7/23/2014,3:34 PM,male,mobile,0
7/25/2014,12:23 AM,male,mobile,1
7/29/2014,2:28 PM,male,mobile,0
7/18/2014,10:41 AM,male,mobile,1
7/28/2014,7:43 PM,female,tablet,1
7/18/2014,2:09 PM,female,mobile,1
7/24/2014,3:32 AM,female,desktop,0
7/22/2014,12:01 PM,female,tablet,0
7/23/2014,1:31 PM,male,desktop,0
7/18/2014,8:32 PM,female,tablet,1
7/31/2014,12:21 AM,female,tablet,1
7/30/2014,11:52 AM,female,mobile,1
7/24/2014,6:14 AM,female,mobile,1
7/19/2014,2:03 AM,male,desktop,0
7/26/2014,11:56 AM,male,mobile,1
7/25/2014,4:33 PM,female,desktop,1
7/26/2014,3:57 AM,male,mobile,1
7/23/2014,3:17 PM,female,mobile,1
7/18/2014,10:29 PM,male,desktop,1
7/26/2014,9:27 AM,male,mobile,0
7/17/2014,2:40 PM,female,tablet,0
7/19/2014,5:36 AM,male,mobile,1
7/18/2014,5:29 AM,female,desktop,0
7/31/2014,7:20 PM,male,tablet,1
7/20/2014,9:31 PM,male,desktop,0
